customer_id,gender,usia,kota,tenure_bulan,paket,jenis_jaringan,kuota_gb,biaya_bulanan,punya_streaming_bundle,punya_ewallet_linked,metode_bayar,jumlah_komplain_6bln,skor_kepuasan_csat,pernah_upgrade_paket,total_pemakaian_data_gb,frekuensi_login_app,churn,is_unlimited,tenure_group,usage_per_cost,high_complain_flag,low_csat_flag,engagement_score
CUST-00000,1,1.4214219046034204,7,-0.815370325800942,2,1,25,-0.04503246307515439,1,1,3,2,5,0,-0.020300811412727084,1.0583190795487767,0,0,1,-0.14549623663360076,1,0,1.725421666061574
CUST-00001,0,-0.2893550814034322,2,0.23600687252566574,0,1,50,-0.9066322531380578,1,1,1,2,3,1,-0.052660595382266286,-0.7251643709884267,0,0,2,0.19569362097724965,1,0,-0.28507695002883776
CUST-00002,0,1.644566728865184,5,1.5741233067595302,2,2,5,-0.2401233836302305,0,0,1,0,4,0,-0.687969007192403,-0.368467680880986,0,0,3,-0.5508809587113227,0,0,0.4862575787308566
CUST-00003,1,0.23131617520734904,4,0.7139055990377602,1,2,999,1.1672960679219546,0,0,0,1,3,0,1.1004043599404976,0.701622389441336,0,1,3,0.10471338913307662,0,0,0.30907629883692916
CUST-00004,1,-0.36373668949068666,2,-0.6720007078473137,2,0,50,-1.2714957661825435,1,0,1,1,4,1,-0.20917628519411904,0.34492569933389533,0,0,1,0.31213158490075754,0,0,0.7783790199769866
CUST-00005,0,-1.702605635061267,0,0.5705359810841318,1,2,50,-0.9189030992557736,1,1,3,0,5,0,0.5760437788830665,-0.011770990773545355,0,0,2,0.8500535896996728,0,0,1.3538833699574706
CUST-00006,1,0.380079391381858,2,1.5741233067595302,1,1,50,-1.1646306759421832,0,1,0,1,1,1,-0.971282217864491,-0.7251643709884267,0,0,3,-0.7350044336951309,0,1,-1.670887674913486
CUST-00007,0,0.5288426075563669,1,-0.9109500711033609,2,0,50,1.5691274464856344,1,1,0,4,3,0,-0.13851308346471725,0.34492569933389533,0,0,1,-0.44513629440307284,1,0,0.11234213393581072
CUST-00008,1,1.644566728865184,1,-0.9587399437545704,1,2,25,-1.292309606432846,1,1,1,1,2,1,-0.7771235140472559,0.34492569933389533,0,0,1,-0.46016210596662527,0,1,-0.5896533111768085
CUST-00009,1,0.7519874318181303,4,-1.6277981608715026,2,1,10,0.09212142454437779,1,1,3,0,5,1,-0.588248040265864,-0.011770990773545355,0,0,0,-0.5203192189876338,0,0,1.2948564242936396
CUST-00010,0,-1.6282240269740125,1,1.1440144528986451,1,1,25,-1.1582622621342546,0,1,1,1,3,1,-0.6866481996834422,0.34492569933389533,0,0,3,-0.38286368276641963,0,0,0.0845529309290155
CUST-00011,0,0.23131617520734904,2,1.0962245802474357,2,1,100,-0.020180116507628423,1,1,2,2,3,0,1.237768340872419,-0.368467680880986,0,0,3,0.6372595727910675,1,0,-0.08573126966443026
CUST-00012,0,0.8263690399053848,1,-0.3374715992888476,1,2,5,-1.1767461948938518,1,1,2,0,1,1,-0.46805455695043263,-1.7952544413107487,1,0,2,-0.10186753753027104,0,1,-2.0471467874319966
CUST-00013,0,0.00817135094558566,3,1.239594198201064,2,1,25,-0.6581087874628017,0,1,2,3,3,1,-0.7982564341906284,-0.368467680880986,0,0,3,-0.5934459764675668,1,0,-0.1889530923993094
CUST-00014,0,-0.21497347331617772,1,0.4749562357817129,1,2,100,1.8466970922116863,1,1,2,2,3,0,-0.42909073543608944,1.0583190795487767,0,0,2,-0.5670680817676603,1,0,0.3654582480699931
CUST-00015,0,1.1238954722544026,2,1.6219131794107395,2,0,50,0.3030557160362512,0,1,2,2,1,0,-0.7209891949164225,-1.438557751203308,0,0,3,-0.6128279428112953,1,1,-1.9260461280638304
CUST-00016,0,0.380079391381858,0,1.4307536888059018,1,2,5,-0.07516593328827917,0,1,3,0,1,1,-0.8557115608304224,0.34492569933389533,0,0,3,-0.6742277287292032,0,1,-1.263256895868027
CUST-00017,1,0.6776058237308759,1,1.5741233067595302,2,1,999,0.22228558969179313,1,1,2,1,3,0,-0.2435172804270995,-0.011770990773545355,0,1,3,-0.3369526629101341,0,0,-0.026905209805467234
CUST-00018,0,-0.14059186522892328,1,-0.38526147194005705,2,1,5,2.0024902397568622,1,0,1,1,5,0,-0.5823044064755403,-0.011770990773545355,0,0,2,-0.6253532050953502,0,0,1.2951577530009422
CUST-00019,1,-0.735644729926959,4,0.4271663631305035,1,2,25,-0.007598616057818989,0,1,1,1,2,1,-0.11209693328550155,-0.011770990773545355,0,0,2,-0.21274240932281985,0,1,-0.6898618468386609
CUST-00020,0,0.08255295903284013,2,-1.1498994343594082,2,0,5,1.0640035025006762,1,1,3,0,5,0,-0.9785466591637753,0.34492569933389533,0,0,4,-0.7564626186831581,0,0,1.408993042426368
CUST-00021,1,1.644566728865184,2,1.3351739435034828,2,0,10,1.1107569794808336,1,1,3,0,3,0,-0.9052418424164519,0.701622389441336,0,0,3,-0.725679237699634,0,0,0.20739460060604167
CUST-00022,1,0.380079391381858,6,-0.6720007078473137,1,2,25,0.9094529722838764,1,0,2,0,4,1,0.1058363056930276,1.0583190795487767,0,0,1,-0.2710851646055102,0,0,1.0621971812885562
CUST-00023,0,0.7519874318181303,0,-0.19410198133521928,2,2,10,2.6610968396920467,0,1,2,0,2,1,0.37131861499414526,-1.438557751203308,0,0,2,-0.3666925186410805,0,1,-1.2010492582937797
CUST-00024,0,-1.3306975946249946,1,0.2837967451768752,0,1,999,0.5226883288267591,0,1,1,0,4,0,-0.7381596925329128,0.34492569933389533,0,1,2,-0.6331145933995632,0,0,0.7515607650270554
CUST-00025,0,1.7189483369524383,4,0.9528549622938074,2,1,50,0.9667686965552325,0,1,3,1,2,0,-0.6245702467622855,0.34492569933389533,1,0,3,-0.6006840559182058,0,1,-0.581919207689375
CUST-00026,1,-0.8844079461014679,5,0.7616954716889696,0,0,25,-0.6436633610204275,1,0,1,1,4,0,1.6703328000570759,-1.0818610610958674,0,0,3,1.527278669809479,0,0,0.3379703737705004
CUST-00027,0,1.644566728865184,6,1.5263334341083208,0,1,10,-0.1528295163117967,1,1,2,1,5,0,-0.4475820405615405,-0.011770990773545355,0,0,3,-0.39935709085862,0,0,1.3019878703664678
CUST-00028,0,-0.21497347331617772,5,0.7139055990377602,2,0,25,-0.20129159211847172,1,1,0,4,3,0,0.6685003045103215,0.34492569933389533,0,0,3,0.3688618632741041,1,0,0.15325587619400832
CUST-00029,1,1.495803512690675,2,1.0006448349450168,2,2,25,-0.9220096425767144,1,0,1,0,2,1,-0.6912710259648049,-1.0818610610958674,0,0,3,-0.45146830395270804,0,1,-1.1209962650537229
CUST-00030,1,1.347040296516166,1,0.23600687252566574,1,1,100,-0.849782510364843,0,1,2,0,3,0,0.4657563518848412,-1.7952544413107487,0,0,2,0.6666291146731498,0,0,-0.6605660002953531
CUST-00031,1,0.9007506479926393,1,-0.3374715992888476,1,0,10,-0.2166689815571279,0,1,3,1,5,0,-0.4720169794773149,0.34492569933389533,0,0,2,-0.4051247313686001,0,0,1.4346729444820452
CUST-00032,1,1.495803512690675,1,1.3829638161546924,2,1,100,0.04443598456793812,1,0,1,1,3,0,-0.7427825188142756,0.34492569933389533,0,0,3,-0.6097691372993091,0,0,0.08170704869337994
CUST-00033,0,0.380079391381858,1,-0.4330513445912665,2,2,25,1.9308844162091796,0,0,0,1,5,0,-0.7408013075508343,0.701622389441336,0,0,2,-0.6769370195915284,0,0,1.5549700606307375
CUST-00034,0,1.1982770803416571,1,0.37937649047929406,2,1,10,-0.9234075870711378,1,1,1,2,5,0,3.2770951347078685,-2.1519511314181896,1,0,2,3.6395427629925563,1,0,0.6872773074691677
CUST-00035,1,-1.1075527703632313,5,-0.7675804531497326,1,0,25,-0.9606861069224261,0,0,3,2,2,1,-0.7685382652390108,-0.368467680880986,0,0,1,-0.5244808311631455,1,1,-0.857065798424125
CUST-00036,0,-1.4794608107995035,1,-0.09852223603280039,1,1,5,-1.256429031075981,1,1,2,2,1,1,-0.09228482065108976,-0.011770990773545355,1,0,2,0.4549473727287442,1,1,-1.3584767673756482
CUST-00037,0,0.1569345671200946,7,-0.4808412172424759,2,1,50,0.7124981257362359,0,0,3,1,2,1,3.368891256580643,1.4150157696562173,0,0,2,1.314941590054521,0,1,0.02231181238729052
CUST-00038,1,1.1238954722544026,2,-0.8631601984521515,1,0,100,2.3710816047864767,1,0,1,2,1,0,0.4116032440174491,0.34492569933389533,1,0,1,-0.32982358349457475,1,1,-1.1990069192776176
CUST-00039,0,0.9007506479926393,2,1.0962245802474357,1,1,50,-0.27305274283220154,1,0,0,2,4,0,0.58198741267339,-1.0818610610958674,0,0,3,0.34741357771151327,1,0,0.28279373936664703
CUST-00040,1,0.08255295903284013,3,0.9050650896425979,0,0,5,0.09538329503136565,0,1,1,2,3,0,-0.9336392038591087,1.0583190795487767,0,0,3,-0.7270363944661933,1,0,0.3398787889167505
CUST-00041,0,0.08255295903284013,1,0.6661157263865507,2,1,50,-0.2527048840800404,0,1,2,1,2,0,-0.09888885819589366,-0.7251643709884267,0,0,3,-0.13855898433896285,0,1,-0.9570399673136312
